"export-plot data (NetLogo 6.0.3)"
"main.nlogo"
"03/10/2019 19:39:59:044 +0000"

"MODEL SETTINGS"
"carrying-capacity","num-agents","suicide-rate","init-coop-freq","payoff-cd","cost-of-living"
"4900","100","1.0E-4","0.5","2","0"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","3230","true","""cooperators""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""cooperators""","true","0","1","65","337"
"""defectors""","true","0","1","15","337"

"""cooperators""",,,,"""defectors"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","41","65","true","0","59","15","true"
"1","41","65","true","1","59","15","true"
"2","41","65","true","2","59","15","true"
"3","41","65","true","3","59","15","true"
"4","41","65","true","4","59","15","true"
"5","41","65","true","5","59","15","true"
"6","41","65","true","6","59","15","true"
"7","41","65","true","7","59","15","true"
"8","41","65","true","8","59","15","true"
"9","41","65","true","9","59","15","true"
"10","41","65","true","10","59","15","true"
"11","41","65","true","11","59","15","true"
"12","41","65","true","12","59","15","true"
"13","41","65","true","13","59","15","true"
"14","41","65","true","14","59","15","true"
"15","41","65","true","15","59","15","true"
"16","41","65","true","16","59","15","true"
"17","41","65","true","17","59","15","true"
"18","41","65","true","18","59","15","true"
"19","41","65","true","19","59","15","true"
"20","41","65","true","20","59","15","true"
"21","41","65","true","21","59","15","true"
"22","41","65","true","22","59","15","true"
"23","41","65","true","23","59","15","true"
"24","41","65","true","24","59","15","true"
"25","41","65","true","25","59","15","true"
"26","41","65","true","26","60","15","true"
"27","41","65","true","27","60","15","true"
"28","41","65","true","28","60","15","true"
"29","41","65","true","29","61","15","true"
"30","41","65","true","30","62","15","true"
"31","41","65","true","31","64","15","true"
"32","41","65","true","32","65","15","true"
"33","41","65","true","33","69","15","true"
"34","43","65","true","34","69","15","true"
"35","43","65","true","35","71","15","true"
"36","43","65","true","36","73","15","true"
"37","44","65","true","37","73","15","true"
"38","44","65","true","38","76","15","true"
"39","45","65","true","39","77","15","true"
"40","46","65","true","40","78","15","true"
"41","46","65","true","41","79","15","true"
"42","46","65","true","42","80","15","true"
"43","48","65","true","43","80","15","true"
"44","48","65","true","44","80","15","true"
"45","51","65","true","45","80","15","true"
"46","52","65","true","46","83","15","true"
"47","53","65","true","47","84","15","true"
"48","54","65","true","48","84","15","true"
"49","54","65","true","49","85","15","true"
"50","55","65","true","50","85","15","true"
"51","56","65","true","51","88","15","true"
"52","56","65","true","52","89","15","true"
"53","56","65","true","53","91","15","true"
"54","56","65","true","54","93","15","true"
"55","56","65","true","55","95","15","true"
"56","57","65","true","56","96","15","true"
"57","57","65","true","57","99","15","true"
"58","58","65","true","58","99","15","true"
"59","62","65","true","59","102","15","true"
"60","62","65","true","60","102","15","true"
"61","62","65","true","61","105","15","true"
"62","64","65","true","62","109","15","true"
"63","66","65","true","63","110","15","true"
"64","67","65","true","64","114","15","true"
"65","68","65","true","65","116","15","true"
"66","70","65","true","66","119","15","true"
"67","72","65","true","67","124","15","true"
"68","73","65","true","68","126","15","true"
"69","74","65","true","69","127","15","true"
"70","75","65","true","70","129","15","true"
"71","75","65","true","71","131","15","true"
