"export-plot data (NetLogo 6.0.3)"
"main.nlogo"
"03/10/2019 18:22:58:895 +0000"

"MODEL SETTINGS"
"carrying-capacity","num-agents","suicide-rate","init-coop-freq","payoff-cd","cost-of-living"
"4900","100","0.001","0.5","2","1"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","895","0","2770","true","""cooperators""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""cooperators""","true","0","1","65","841"
"""defectors""","true","0","1","15","841"

"""cooperators""",,,,"""defectors"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","51","65","true","0","49","15","true"
"1","51","65","true","1","49","15","true"
"2","49","65","true","2","49","15","true"
"3","49","65","true","3","49","15","true"
"4","49","65","true","4","48","15","true"
"5","48","65","true","5","48","15","true"
"6","48","65","true","6","48","15","true"
"7","47","65","true","7","48","15","true"
"8","47","65","true","8","47","15","true"
"9","46","65","true","9","46","15","true"
"10","46","65","true","10","46","15","true"
"11","46","65","true","11","46","15","true"
"12","46","65","true","12","45","15","true"
"13","46","65","true","13","45","15","true"
"14","45","65","true","14","45","15","true"
"15","43","65","true","15","45","15","true"
"16","43","65","true","16","45","15","true"
"17","43","65","true","17","44","15","true"
"18","43","65","true","18","44","15","true"
"19","43","65","true","19","44","15","true"
"20","42","65","true","20","43","15","true"
"21","42","65","true","21","42","15","true"
"22","42","65","true","22","42","15","true"
"23","42","65","true","23","42","15","true"
"24","41","65","true","24","42","15","true"
"25","40","65","true","25","42","15","true"
"26","39","65","true","26","42","15","true"
"27","38","65","true","27","42","15","true"
"28","38","65","true","28","40","15","true"
"29","38","65","true","29","40","15","true"
"30","38","65","true","30","39","15","true"
"31","38","65","true","31","39","15","true"
"32","37","65","true","32","39","15","true"
"33","37","65","true","33","39","15","true"
"34","36","65","true","34","39","15","true"
"35","36","65","true","35","39","15","true"
"36","36","65","true","36","39","15","true"
"37","36","65","true","37","38","15","true"
"38","36","65","true","38","38","15","true"
"39","36","65","true","39","37","15","true"
"40","36","65","true","40","35","15","true"
"41","35","65","true","41","35","15","true"
"42","34","65","true","42","35","15","true"
"43","34","65","true","43","35","15","true"
"44","34","65","true","44","35","15","true"
"45","34","65","true","45","34","15","true"
"46","33","65","true","46","34","15","true"
"47","32","65","true","47","33","15","true"
