"export-plot data (NetLogo 6.0.3)"
"main.nlogo"
"03/10/2019 18:27:31:604 +0000"

"MODEL SETTINGS"
"carrying-capacity","num-agents","suicide-rate","init-coop-freq","payoff-cd","cost-of-living"
"4900","100","0.001","0.5","2","1.5"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","4290","0","3690","true","""cooperators""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""cooperators""","true","0","1","65","4225"
"""defectors""","true","0","1","15","4225"

"""cooperators""",,,,"""defectors"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","60","65","true","0","40","15","true"
"1","60","65","true","1","40","15","true"
"2","59","65","true","2","39","15","true"
"3","56","65","true","3","37","15","true"
"4","56","65","true","4","37","15","true"
"5","54","65","true","5","36","15","true"
"6","52","65","true","6","36","15","true"
"7","52","65","true","7","34","15","true"
"8","51","65","true","8","33","15","true"
"9","50","65","true","9","31","15","true"
"10","50","65","true","10","31","15","true"
"11","50","65","true","11","31","15","true"
"12","49","65","true","12","31","15","true"
"13","49","65","true","13","31","15","true"
"14","48","65","true","14","31","15","true"
"15","48","65","true","15","30","15","true"
"16","48","65","true","16","29","15","true"
"17","48","65","true","17","28","15","true"
"18","48","65","true","18","28","15","true"
"19","48","65","true","19","28","15","true"
"20","48","65","true","20","28","15","true"
"21","47","65","true","21","26","15","true"
"22","44","65","true","22","25","15","true"
"23","43","65","true","23","23","15","true"
"24","42","65","true","24","23","15","true"
"25","42","65","true","25","23","15","true"
"26","42","65","true","26","23","15","true"
"27","41","65","true","27","22","15","true"
"28","40","65","true","28","22","15","true"
"29","39","65","true","29","22","15","true"
"30","39","65","true","30","22","15","true"
"31","38","65","true","31","21","15","true"
"32","38","65","true","32","20","15","true"
"33","38","65","true","33","18","15","true"
"34","38","65","true","34","18","15","true"
"35","38","65","true","35","17","15","true"
"36","37","65","true","36","17","15","true"
"37","37","65","true","37","17","15","true"
"38","37","65","true","38","17","15","true"
"39","37","65","true","39","17","15","true"
"40","37","65","true","40","17","15","true"
"41","37","65","true","41","17","15","true"
"42","37","65","true","42","17","15","true"
"43","37","65","true","43","16","15","true"
"44","37","65","true","44","16","15","true"
"45","36","65","true","45","15","15","true"
"46","36","65","true","46","15","15","true"
"47","36","65","true","47","15","15","true"
"48","36","65","true","48","15","15","true"
"49","36","65","true","49","15","15","true"
"50","35","65","true","50","15","15","true"
"51","35","65","true","51","15","15","true"
"52","34","65","true","52","15","15","true"
"53","34","65","true","53","15","15","true"
"54","34","65","true","54","15","15","true"
"55","34","65","true","55","15","15","true"
"56","34","65","true","56","15","15","true"
"57","34","65","true","57","15","15","true"
"58","33","65","true","58","15","15","true"
"59","33","65","true","59","15","15","true"
"60","33","65","true","60","15","15","true"
"61","33","65","true","61","15","15","true"
"62","33","65","true","62","15","15","true"
"63","33","65","true","63","15","15","true"
"64","33","65","true","64","15","15","true"
"65","33","65","true","65","15","15","true"
"66","33","65","true","66","15","15","true"
"67","33","65","true","67","15","15","true"
"68","33","65","true","68","15","15","true"
